Siruta,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
61256,ct,3530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20297,bc,197362,3618.3803163729594,1736.4174258469209,546.8678266332931,100.71357708170773,1.9689504565215188,1587.0182203261013,340.72907651928944,146.1437510767017,238.4061977483001
53069,cs,993,105.61732124874119,0.0,441.8036253776435,0.0,0.0,0.0,0.0,0.0,0.0
28497,bh,2489,479.52792286058656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85840,hr,3637,398.9279626065439,0.0,860.7984602694528,0.0,0.0,0.0,0.0,0.0,0.0
20313,bc,5512,16.835631349782293,665.6855950653121,268.07964441219156,0.0,0.0,10254.26741654572,0.0,0.0,0.0
94045,il,2671,0.515537251965556,1.8569824035941596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12126,ar,2277,2015.6104523495828,0.0,0.0,0.0,0.0,0.0,0.0,9525.491875274483,0.0
102240,il,4561,1098.0243367682526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61283,ct,3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126825,ot,1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118637,ms,894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175983,vn,4667,87.88943646882366,0.0,488.355046068138,0.0,0.0,0.0,0.0,75.93486179558603,0.0
135020,ph,5396,93.66252779836917,5.03169014084507,112.48869532987398,0.0,0.0,0.0,0.0,0.0,0.0
53103,cs,1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12144,ar,4159,0.0,329.36282760278914,11.932916566482328,0.0,0.0,0.0,0.0,375.3726857417648,0.0
167794,vl,7214,9.154144718602717,15.650263376767397,362.87662877737733,0.0,0.0,0.0,0.0,7.5081785417244244,0.0
28530,bh,3173,0.0,1206.8238260321461,0.0,0.0,0.0,0.0,0.0,112.00882445635045,0.0
85877,hr,1874,0.0,0.0,4781.251334044824,0.0,0.0,0.0,0.0,0.0,0.0
3958,ab,3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110456,mh,1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159614,tl,89747,1628.6814712469497,840.6196307397462,25.46574258749596,0.8936231851761062,6195.454087601814,7680.236431301325,5.282159849354296,159.97851738776782,448.1294639375132
94081,il,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44934,bz,2488,0.2970257234726688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61318,ct,9499,197.874302558164,0.0,24.48563006632277,0.0,0.0,0.0,0.0,6.673018212443415,0.0
20359,bc,6903,173.96074170650442,0.0,11.835144140228886,0.0,0.0,959.565551209619,0.0,14.909025061567434,0.0
53130,cs,2441,0.0,26.063088897992625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151433,sv,2377,0.0,0.0,1862.3277240218763,0.0,0.0,0.0,0.0,0.0,0.0
102286,db,5823,10.997595741026963,14.651725914477074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151442,sv,4420,437.61470588235295,0.0,0.0,0.0,0.0,0.0,0.0,46.044796380090496,0.0
36756,bt,6761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69526,db,6024,1.167828685258964,0.0,2.3424634794156707,0.0,0.0,0.0,0.0,0.0,0.0
151451,sv,1448,76.52831491712708,0.0,608.2479281767955,0.0,0.0,0.0,0.0,0.0,0.0
94107,il,3510,10.814814814814815,138.5997150997151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159650,tl,10656,182.3833521021021,0.0,91.6721096096096,0.0,0.0,0.9068130630630631,0.0,355.09206081081084,0.0
85920,hr,5277,519.8537047564904,0.0,2943.574947887057,0.0,0.0,0.0,0.0,0.0,0.0
118691,ms,6114,4883.248773307164,0.0,0.0,0.0,0.0,0.0,0.0,55.216225057245666,0.0
151460,sv,3272,24.033007334963326,0.0,0.0,5.2417481662591685,0.0,0.0,0.0,0.0,0.0
4008,ab,1198,0.0,0.0,652.5534223706177,0.0,0.0,0.0,0.0,137.8338898163606,0.0
94125,cl,2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12206,ar,3091,0.0,0.0,0.06858621805241022,0.0,0.0,0.0,0.0,0.0,0.0
53167,cs,2664,8.326951951951951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151479,sv,5247,155.747665332571,0.0,1413.1101581856299,0.0,0.0,0.0,0.0,0.0,0.0
126905,ot,863,1.5052143684820394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20411,bc,5105,438.27952987267383,187.9071498530852,206.8199804113614,8588.148677766896,0.0,0.0,0.0,729.643486777669,0.0
